Date,SPX,NDX,SP400,SX5E,CAC,KOSPI,HSCE,EUR,JPY,GBP,CHF,AUD,NZD,SEK,NOK,CAD,BRL,MXN,ZAR,CZK
1/29/2024,4927.93,17596.27,2789.24,4639.36,7640.81,337.84,5408.93,1.0833,147.49,1.2707,0.8611,0.661,0.6131,10.4311,10.4151,1.3411,4.9518,17.218,18.794,22.916
1/30/2024,4924.97,17476.709,2783.54,4662.7,7677.47,337.48,5275.37,1.084,147.6,1.2697,0.8616,0.6601,0.6136,10.4007,10.4388,1.3396,4.9516,17.14,18.8032,22.807
1/31/2024,4845.65,17137.236,2732.18,4648.4,7656.75,336.24,5194.04,1.0816,146.88,1.2685,0.8611,0.6565,0.6114,10.3877,10.5042,1.3434,4.9526,17.212,18.6739,22.922
2/1/2024,4906.19,17344.709,2767.42,4638.6,7588.75,342.41,5223.48,1.0872,146.42,1.2742,0.8574,0.6569,0.6143,10.3808,10.432,1.3384,4.9163,17.08,18.5892,22.836
2/2/2024,4958.61,17642.732,2767.15,4654.55,7592.26,353.43,5218.99,1.0784,148.37,1.263,0.8664,0.6512,0.6063,10.4761,10.5916,1.346,4.9699,17.113,18.8997,23.088
2/5/2024,4942.81,17613.036,2736.36,4655.27,7589.96,349.15,5217.36,1.0741,148.67,1.2532,0.8705,0.6482,0.6053,10.5949,10.6672,1.3538,4.9854,17.111,19.0627,23.215
2/6/2024,4954.23,17572.734,2749.42,4690.87,7638.97,347.8,5473.75,1.0754,147.94,1.2597,0.8695,0.6523,0.6095,10.4985,10.583,1.3492,4.9634,17.032,18.8324,23.153
2/7/2024,4995.06,17755.071,2762.35,4678.85,7611.26,352.25,5421.53,1.0771,148.18,1.2625,0.8743,0.6518,0.6111,10.4716,10.5819,1.3463,4.9685,17.026,18.8861,23.148
2/8/2024,4997.91,17783.166,2787.40,4710.78,7665.63,353.29,5360.08,1.0776,149.31,1.2616,0.8736,0.6491,0.6095,10.4757,10.6107,1.3455,4.992,17.1408,18.9555,23.41
2/9/2024,5026.61,17962.405,2808.47,4715.87,7647.52,353.29,5306.79,1.0782,149.3,1.2619,0.8745,0.6523,0.6146,10.4428,10.5387,1.3458,4.9517,17.076,19.0199,23.358
2/12/2024,5021.84,17882.661,2834.34,4746.35,7689.8,353.29,5306.79,1.0771,149.34,1.2626,0.8756,0.6529,0.6131,10.3972,10.4962,1.3448,4.9536,17.0644,18.914,23.423
2/13/2024,4953.17,17600.424,2765.08,4689.28,7625.31,357.38,5306.79,1.0709,150.79,1.2589,0.887,0.6452,0.6059,10.5815,10.6677,1.3563,4.9536,17.175,19.1028,23.643
2/14/2024,5000.62,17807.631,2804.92,4709.22,7677.35,352.69,5386.31,1.0725,150.55,1.2565,0.8858,0.649,0.6086,10.5288,10.5771,1.3541,4.969,17.073,19.0312,23.637
2/15/2024,5029.73,17845.723,2854.81,4743.17,7743.42,351.21,5410.94,1.0771,149.91,1.26,0.8799,0.6524,0.6106,10.4496,10.5227,1.3463,4.9732,17.039,18.9405,23.502
2/16/2024,5005.57,17685.98,2828.30,4765.65,7768.18,355.52,5558.86,1.0774,150.21,1.2598,0.8805,0.6531,0.6123,10.4228,10.4952,1.3484,4.9665,17.051,18.8748,23.587
2/19/2024,5005.57,17685.98,2828.30,4763.07,7768.55,360.88,5484.88,1.0777,150.11,1.2593,0.8821,0.6537,0.6147,10.4263,10.4783,1.3488,4.9564,17.041,18.9652,23.609
2/20/2024,4975.51,17546.096,2807.96,4760.28,7795.22,356.92,5519.23,1.0803,149.99,1.2618,0.8818,0.6548,0.6162,10.3666,10.4778,1.352,4.9275,17.048,18.8996,23.474
2/21/2024,4981.8,17478.908,2813.17,4775.31,7812.09,356.04,5642.78,1.0817,150.28,1.2634,0.8794,0.655,0.618,10.3597,10.4779,1.3505,4.9358,17.0382,18.9227,23.381
2/22/2024,5087.03,18004.702,2855.10,4855.36,7911.6,357.67,5758.46,1.0823,150.51,1.2659,0.8801,0.6553,0.6193,10.3164,10.4919,1.3481,4.9605,17.098,19.1475,23.416
2/23/2024,5088.8,17937.61,2858.02,4872.57,7966.68,358.57,5765.1,1.0818,150.5,1.2679,0.8811,0.656,0.6193,10.3104,10.5404,1.3505,4.9951,17.107,19.3058,23.406
2/26/2024,5069.53,17933.332,2854.48,4864.29,7929.82,355.48,5723.36,1.0847,150.69,1.2682,0.8798,0.654,0.6172,10.2775,10.5051,1.3507,4.9799,17.0944,19.2968,23.361
2/27/2024,5078.18,17971.047,2866.76,4885.74,7948.4,352.76,5806.9,1.0844,150.5,1.2683,0.8783,0.6543,0.6169,10.3041,10.5248,1.3527,4.9335,17.0587,19.1003,23.341
2/28/2024,5069.76,17874.504,2867.04,4883.77,7954.39,356.79,5688.46,1.0836,150.67,1.2661,0.8786,0.6496,0.6097,10.3362,10.5879,1.3576,4.9675,17.0898,19.2601,23.311
2/29/2024,5096.27,18043.85,2890.67,4877.77,7927.43,355.57,5677.88,1.0803,149.98,1.2623,0.8844,0.6495,0.6087,10.3668,10.6024,1.3575,4.9716,17.049,19.2061,23.423
3/1/2024,5137.08,18302.91,2910.66,4894.86,7934.17,355.57,5728.84,1.0837,150.11,1.265,0.8833,0.6523,0.6109,10.3033,10.5091,1.3557,4.9541,17.0108,19.1125,23.355
3/4/2024,5130.95,18226.482,2930.66,4912.92,7956.41,361.1,5712.83,1.0854,150.51,1.269,0.8847,0.6511,0.6091,10.371,10.5719,1.3571,4.9458,16.96,19.0254,23.354
3/5/2024,5078.65,17897.867,2921.40,4893.07,7932.82,357.59,5562.73,1.0855,150.04,1.2703,0.8832,0.6503,0.6085,10.3722,10.5609,1.3589,4.9581,16.9426,18.9648,23.306
3/6/2024,5104.76,18017.575,2940.49,4915.49,7954.74,356.25,5672.97,1.0897,149.37,1.2729,0.8819,0.6563,0.6128,10.2868,10.4868,1.3513,4.9446,16.877,18.8243,23.265
3/7/2024,5157.36,18297.99,2968.54,4974.22,8016.22,356.82,5613.83,1.0946,148.03,1.2806,0.8775,0.6616,0.6173,10.2087,10.3999,1.3457,4.935,16.87,18.6729,23.128
3/8/2024,5123.69,18018.452,2952.39,4961.11,8028.01,361.71,5656.72,1.0937,147.07,1.2857,0.8775,0.6627,0.6173,10.2029,10.4227,1.3478,4.9806,16.8089,18.7138,23.128
3/11/2024,5117.94,17951.692,2938.99,4930.42,8019.73,358.34,5748.89,1.0926,146.94,1.2812,0.8775,0.6614,0.6167,10.2332,10.4527,1.3482,4.9771,16.779,18.6704,23.155
3/12/2024,5175.27,18219.115,2953.64,4983.2,8087.48,361.11,5949.52,1.0924,147.68,1.2791,0.8769,0.6605,0.6149,10.2415,10.5188,1.3488,4.9718,16.7945,18.66,23.121
3/13/2024,5165.31,18068.467,2963.78,5000.55,8137.58,363.04,5932.46,1.0946,147.74,1.2796,0.8787,0.662,0.6156,10.2265,10.4794,1.3469,4.97,16.6595,18.574,23.062
3/14/2024,5150.48,18014.806,2926.30,4993.12,8161.42,366.68,5906.88,1.0881,148.32,1.2751,0.8838,0.658,0.6129,10.3356,10.5422,1.3532,4.9895,16.696,18.7292,23.125
3/15/2024,5117.09,17808.25,2923.76,4986.02,8164.35,359.39,5820.5,1.0887,149.02,1.2739,0.8835,0.656,0.608,10.3521,10.6091,1.3541,4.9949,16.693,18.736,23.075
3/18/2024,5149.42,17985.007,2918.02,4982.76,8148.14,361.31,5848.15,1.0871,149.14,1.2727,0.8877,0.6559,0.6083,10.4246,10.653,1.3531,5.0253,16.8253,18.9452,23.183
3/19/2024,5178.51,18032.205,2939.67,5007.92,8201.05,357.33,5780.21,1.0865,150.85,1.272,0.8879,0.6529,0.6051,10.4366,10.6528,1.3563,5.0301,16.802,18.8975,23.222
3/20/2024,5224.62,18240.107,2979.59,5000.31,8161.41,363.32,5803.99,1.0918,151.25,1.2784,0.8868,0.6585,0.608,10.3814,10.5531,1.349,4.9691,16.6733,18.6961,23.049
3/21/2024,5241.53,18320.375,3013.24,5052.31,8179.72,373.66,5905.27,1.086,151.61,1.2656,0.8975,0.6569,0.6041,10.4639,10.6645,1.3529,4.9781,16.7352,18.8107,23.301
3/22/2024,5234.18,18339.442,2991.26,5031.15,8151.92,372.65,5757.67,1.0805,151.42,1.2601,0.8976,0.6514,0.5992,10.5584,10.7378,1.3606,4.9997,16.757,18.9868,23.426
3/25/2024,5218.19,18277.064,2990.63,5044.19,8151.6,370.73,5754.65,1.0836,151.41,1.2634,0.8992,0.6539,0.6001,10.5724,10.7004,1.3584,4.9751,16.673,18.8823,23.305
3/26/2024,5203.58,18210.537,2985.39,5064.18,8184.75,374.6,5825.42,1.083,151.55,1.2625,0.9038,0.6532,0.6003,10.5898,10.7489,1.3582,4.9808,16.635,18.945,23.351
3/27/2024,5248.49,18280.842,3034.34,5081.74,8204.81,374.08,5728.13,1.0826,151.32,1.2638,0.9037,0.6533,0.6003,10.6081,10.7696,1.3567,4.9866,16.523,18.8967,23.36
3/28/2024,5254.35,18254.689,3046.36,5083.42,8205.81,373.22,5810.79,1.0787,151.37,1.2622,0.9016,0.6515,0.5971,10.6943,10.8513,1.3538,5.0129,16.622,18.9368,23.445
3/29/2024,5254.35,18254.689,3046.36,5083.42,8205.81,374.63,5810.79,1.0793,151.31,1.2623,0.9016,0.6521,0.5977,10.6508,10.8158,1.3537,5.0153,16.531,18.9214,23.38
4/1/2024,5243.77,18293.199,3024.81,5083.42,8205.81,374.28,5810.79,1.0743,151.63,1.255,0.9041,0.6488,0.5951,10.7965,10.946,1.3569,5.0543,16.6118,18.9324,23.503
4/2/2024,5205.81,18121.784,2986.19,5042,8130.05,376.34,5960.72,1.0768,151.55,1.2577,0.9078,0.6517,0.597,10.7344,10.8334,1.3564,5.0576,16.55,18.7694,23.471
4/3/2024,5211.49,18160.19,2996.31,5069.25,8153.23,369.72,5874.99,1.0835,151.68,1.2651,0.9029,0.6563,0.6007,10.6447,10.7117,1.3526,5.0393,16.534,18.6638,23.336
4/4/2024,5147.21,17878.78,2964.61,5070.76,8151.55,375.61,5874.99,1.0835,151.33,1.264,0.9013,0.6587,0.6024,10.6487,10.7242,1.3541,5.0538,16.5829,18.7076,23.328
4/5/2024,5204.34,18108.456,2989.16,5014.75,8061.31,371.57,5863.57,1.0835,151.61,1.2636,0.9014,0.6578,0.6012,10.6357,10.7108,1.3588,5.0655,16.4497,18.6677,23.333
4/8/2024,5202.39,18100.192,3001.92,5046.05,8119.3,372.51,5868.97,1.0858,151.79,1.2652,0.9054,0.6603,0.6029,10.5609,10.6777,1.3571,5.0268,16.313,18.6321,23.313
4/9/2024,5209.91,18169.905,3005.12,4990.9,8049.17,370.27,5895.32,1.0855,151.77,1.2676,0.9035,0.6627,0.6059,10.5499,10.6746,1.3567,5.009,16.3826,18.4616,23.397
4/10/2024,5160.64,18011.655,2945.15,5000.83,8045.38,370.27,6016.83,1.0742,153.17,1.2531,0.913,0.651,0.5985,10.7088,10.8171,1.3675,5.0746,16.41,18.7228,23.654
4/11/2024,5199.06,18307.983,2946.58,4966.68,8023.74,370.72,6003.97,1.0724,153.27,1.255,0.9098,0.6536,0.5995,10.7235,10.8296,1.3689,5.0917,16.4343,18.731,23.624
4/12/2024,5123.41,18003.487,2899.72,4955.01,8010.83,367.25,5879.58,1.0642,153.28,1.245,0.914,0.6463,0.5936,10.8739,10.8968,1.3772,5.1175,16.62,18.8578,23.793
4/15/2024,5061.82,17706.832,2868.88,4984.48,8045.11,365.31,5856.44,1.0622,154.27,1.2444,0.9114,0.6441,0.5903,10.8834,10.9399,1.3786,5.1846,16.723,18.9861,23.807
4/16/2024,5051.41,17713.664,2854.87,4916.99,7932.61,356.67,5743.78,1.0617,154.71,1.2424,0.9127,0.6401,0.5879,10.9593,10.9844,1.3828,5.2826,17.053,19.0395,23.721
4/17/2024,5022.21,17493.622,2831.24,4914.13,7981.51,352.79,5749.69,1.0671,154.38,1.2446,0.9106,0.6434,0.5915,10.9351,10.9918,1.377,5.242,16.957,19.0229,23.669
4/18/2024,5011.12,17394.314,2825.94,4936.57,8023.26,359.06,5803.86,1.0643,154.63,1.2435,0.9121,0.642,0.5901,10.9659,11.0422,1.3765,5.2482,17.075,19.1436,23.715
4/19/2024,4967.23,17037.646,2836.88,4918.09,8022.41,352.58,5746.61,1.0654,154.63,1.2371,0.91,0.6417,0.589,10.9115,11.007,1.3753,5.2027,17.082,19.1036,23.675
4/22/2024,5010.6,17210.886,2862.97,4936.85,8040.36,356.89,5831.26,1.0654,154.84,1.2349,0.9118,0.6449,0.5917,10.8851,10.9818,1.3698,5.168,17.1317,19.1883,23.697
4/23/2024,5070.55,17471.471,2899.42,5008.17,8105.78,355.98,5954.62,1.0699,154.82,1.2448,0.9117,0.6485,0.593,10.8124,10.9031,1.3661,5.126,16.939,19.1129,23.558
4/24/2024,5071.63,17526.8,2900.88,4989.88,8091.86,363.6,6100.22,1.0697,155.34,1.2461,0.9149,0.6497,0.5935,10.8772,10.9819,1.37,5.1457,17.0556,19.2141,23.558
4/25/2024,5048.42,17430.504,2886.89,4939.01,8016.65,356.51,6120.37,1.0729,155.65,1.2513,0.912,0.6517,0.5947,10.8744,10.9509,1.3655,5.1602,17.195,19.0354,23.42
4/26/2024,5099.96,17718.299,2895.24,5006.85,8088.24,361.02,6269.76,1.0692,158.33,1.2489,0.9141,0.6533,0.5933,10.9218,11.0395,1.3669,5.1151,17.139,18.8392,23.497
4/29/2024,5116.17,17782.715,2912.22,4981.09,8065.15,364.48,6282.86,1.0719,156.33,1.2561,0.9103,0.6566,0.5977,10.9179,10.9789,1.3659,5.1189,17.0016,18.6142,23.421
4/30/2024,5035.69,17440.692,2861.11,4921.22,7984.93,365.13,6273.75,1.0665,157.8,1.249,0.9193,0.6472,0.5886,11.0176,11.1033,1.3777,5.1934,17.1355,18.7556,23.548
5/1/2024,5018.39,17318.549,2864.35,4921.22,7984.93,365.13,6273.75,1.0709,154.47,1.2525,0.9154,0.6523,0.5928,10.9164,11.0313,1.3738,5.1936,16.985,18.5861,23.39
5/2/2024,5064.2,17541.541,2900.70,4890.61,7914.65,364.31,6437.09,1.0725,153.63,1.2531,0.9105,0.6563,0.5955,10.8701,10.991,1.3671,5.1113,16.9653,18.5751,23.252
5/3/2024,5127.79,17890.795,2929.04,4921.48,7957.57,363.58,6547.29,1.0758,152.98,1.2544,0.9054,0.6608,0.601,10.821,10.8812,1.3684,5.0722,16.96,18.4967,23.257
5/6/2024,5180.74,18093.566,2970.04,4956.96,7996.64,363.58,6572.45,1.0768,153.88,1.2561,0.9061,0.6624,0.6008,10.8049,10.8245,1.3662,5.0758,16.86,18.4625,23.208
5/7/2024,5187.7,18091.446,2975.87,5016.1,8075.68,372.8,6526.67,1.0752,154.69,1.2504,0.9082,0.6596,0.5999,10.8441,10.8989,1.3723,5.0707,16.876,18.5121,23.266
5/8/2024,5187.67,18085.012,2967.91,5038.17,8131.41,374.09,6456.72,1.0745,155.48,1.2496,0.9077,0.6578,0.6004,10.8953,10.9047,1.372,5.0909,16.895,18.5576,23.26
5/9/2024,5214.08,18113.463,2996.37,5054.41,8187.65,368.83,6560.67,1.0781,155.46,1.2522,0.9058,0.6619,0.6034,10.8387,10.8444,1.3675,5.1412,16.751,18.47,23.099
5/10/2024,5222.68,18161.18,2993.96,5085.08,8219.14,371.08,6718.86,1.0769,155.72,1.2521,0.9063,0.6601,0.6019,10.8178,10.8242,1.367,5.1584,16.75,18.445,23.101
5/13/2024,5221.42,18198.614,2991.17,5078.96,8209.28,370.99,6761.64,1.0788,156.2,1.2558,0.9081,0.6607,0.6014,10.8395,10.8053,1.3665,5.1511,16.7991,18.3624,22.971
5/14/2024,5246.68,18322.771,3020.39,5080.29,8225.8,371.04,6741.41,1.0818,156.42,1.2588,0.9064,0.6623,0.6036,10.8018,10.8139,1.3647,5.1299,16.833,18.3513,22.918
5/15/2024,5308.15,18596.651,3040.28,5100.9,8239.99,371.04,6741.41,1.0882,154.87,1.2685,0.902,0.6692,0.6121,10.6586,10.6607,1.3601,5.1373,16.6799,18.2588,22.705
5/16/2024,5297.1,18557.964,3014.57,5072.45,8188.49,374.6,6871.38,1.0865,155.38,1.2666,0.906,0.6677,0.6119,10.7105,10.6875,1.3618,5.1288,16.67,18.1958,22.702
5/17/2024,5303.27,18546.23,3016.25,5064.14,8167.5,370.58,6934.7,1.087,155.65,1.2699,0.9089,0.6692,0.6131,10.7091,10.6655,1.3609,5.1031,16.59,18.1482,22.695
5/20/2024,5308.13,18674.187,3019.65,5074.34,8195.97,373.68,6964.99,1.0855,156.24,1.2704,0.9104,0.6667,0.6105,10.6884,10.6987,1.3622,5.1033,16.5536,18.1991,22.752
5/21/2024,5321.41,18713.798,3014.51,5046.99,8141.46,371.55,6820.97,1.0854,156.15,1.2707,0.9111,0.6664,0.609,10.6922,10.6694,1.3652,5.1225,16.62,18.0821,22.767
5/22/2024,5307.01,18705.202,2990.09,5025.17,8092.11,371.41,6817.68,1.0821,156.77,1.2715,0.9156,0.6618,0.6096,10.7302,10.7089,1.3693,5.1503,16.66,18.2569,22.816
5/23/2024,5267.84,18623.387,2951.94,5037.6,8102.33,371.62,6701.78,1.0813,156.93,1.2697,0.9143,0.6606,0.6097,10.7384,10.6657,1.3729,5.1442,16.7153,18.4704,22.852
5/24/2024,5304.72,18808.347,2976.67,5035.41,8094.97,366.08,6605.24,1.0845,156.99,1.274,0.9148,0.6627,0.612,10.6669,10.5843,1.3661,5.166,16.682,18.4386,22.696
5/27/2024,5304.72,18808.347,2976.67,5059.2,8132.49,371.16,6688.13,1.0858,156.86,1.2767,0.9137,0.6651,0.6148,10.6051,10.4834,1.3632,5.1708,16.645,18.3551,22.704
5/28/2024,5306.04,18869.44,2957.40,5030.35,8057.8,371.33,6686.13,1.0855,157.16,1.276,0.9124,0.6648,0.614,10.5661,10.5053,1.3645,5.1611,16.7799,18.2749,22.685
5/29/2024,5266.95,18736.755,2919.56,4963.2,7935.03,364.96,6557.48,1.08,157.6,1.2707,0.9133,0.6611,0.6107,10.6695,10.592,1.3714,5.2018,16.948,18.386,22.884
5/30/2024,5235.48,18538.663,2949.54,4982.18,7978.51,358.7,6462.95,1.0832,156.81,1.273,0.9032,0.6632,0.6114,10.5836,10.5367,1.3678,5.2034,17.0168,18.7401,22.805
5/31/2024,5277.51,18536.651,2982.86,4983.67,7992.87,358.21,6392.58,1.0841,157.31,1.2739,0.9019,0.6652,0.6142,10.5143,10.4669,1.3626,5.2443,16.993,18.8079,22.722
6/3/2024,5283.4,18600.974,2959.94,5003.54,7998.02,365.48,6531.99,1.0902,156.1,1.2804,0.8955,0.6688,0.6184,10.4114,10.4386,1.3627,5.2467,17.671,18.4931,22.6
6/4/2024,5291.34,18654.837,2921.01,4953.37,7937.9,362.52,6554.32,1.0878,154.87,1.2763,0.8897,0.6644,0.6176,10.4297,10.5676,1.3678,5.2861,17.853,18.6963,22.71
6/5/2024,5354.03,19035.048,2951.62,5035.66,8006.57,366.44,6542.47,1.0868,156.1,1.2785,0.8933,0.6647,0.6191,10.3913,10.5783,1.3692,5.2964,17.493,18.9258,22.654
6/6/2024,5352.96,19021.193,2943.22,5069.09,8040.12,366.44,6555.06,1.0888,155.6,1.2788,0.8891,0.6665,0.6197,10.3911,10.5439,1.3668,5.256,17.97,18.9607,22.525
6/7/2024,5346.99,19000.951,2920.70,5051.31,8001.8,371.39,6510.37,1.08,156.7,1.2721,0.8959,0.6582,0.611,10.5398,10.7,1.3764,5.3448,18.38,18.8605,22.791
6/10/2024,5360.79,19074.675,2926.28,5016.48,7893.98,367.46,6510.37,1.0763,157.02,1.273,0.8963,0.6609,0.6125,10.4825,10.6432,1.3758,5.3547,18.21,18.7236,22.848
6/11/2024,5375.32,19210.185,2913.87,4965.09,7789.21,367.71,6452.06,1.0739,157.07,1.274,0.8974,0.661,0.614,10.4769,10.6895,1.3757,5.3662,18.5706,18.5982,22.997
6/12/2024,5421.03,19465.179,2951.97,5034.43,7864.7,371.12,6359.36,1.0807,156.71,1.2796,0.8941,0.6663,0.6185,10.3617,10.5719,1.3722,5.4123,18.73,18.374,22.789
6/13/2024,5433.74,19576.924,2935.16,4935.5,7708.02,374.75,6421.81,1.0735,157.02,1.2759,0.8937,0.6635,0.6167,10.4642,10.6557,1.3742,5.3636,18.355,18.4195,22.982
6/14/2024,5431.6,19659.8,2895.31,4839.14,7503.27,376,6374.66,1.07,157.37,1.2682,0.8901,0.6614,0.6142,10.498,10.6587,1.3735,5.3757,18.454,18.3389,23.089
6/17/2024,5473.23,19902.749,2921.19,4880.42,7571.57,373.86,6373.48,1.0734,157.71,1.2703,0.8893,0.6612,0.613,10.4747,10.6555,1.3722,5.4195,18.508,18.2476,22.994
6/18/2024,5487.03,19908.858,2929.75,4915.47,7628.8,377.73,6368.1,1.0738,157.85,1.2707,0.8841,0.6655,0.6144,10.4352,10.5746,1.3717,5.4359,18.395,18.0334,23.097
6/19/2024,5487.03,19908.858,2929.75,4885.45,7570.2,383.01,6587.77,1.0742,158.08,1.2717,0.8842,0.6671,0.6131,10.4305,10.5584,1.3705,5.4362,18.408,17.9605,23.152
6/20/2024,5473.17,19752.298,2920.88,4947.73,7671.34,384.78,6556.1,1.07,158.9,1.2655,0.8911,0.6654,0.6119,10.4957,10.5478,1.3687,5.4483,18.3454,17.9719,23.252
6/21/2024,5464.62,19700.431,2931.86,4907.3,7628.57,380.88,6439.82,1.0691,159.79,1.2645,0.8937,0.6639,0.6118,10.4978,10.555,1.3694,5.4302,18.1,17.9642,23.285
6/24/2024,5447.87,19474.62,2950.53,4950.98,7706.89,378.39,6441.16,1.0732,159.59,1.2679,0.8927,0.6656,0.6125,10.47,10.5354,1.3654,5.3928,17.938,18.1153,23.159
6/25/2024,5469.3,19701.129,2921.28,4935.97,7662.3,379.85,6464.49,1.0713,159.69,1.2683,0.8946,0.6645,0.6119,10.5065,10.6123,1.3655,5.4509,18.0932,18.2266,23.137
6/26/2024,5477.9,19751.048,2912.39,4915.94,7609.15,383.01,6477.24,1.0679,160.79,1.262,0.8972,0.6646,0.6081,10.5736,10.6779,1.37,5.5194,18.325,18.1771,23.3
6/27/2024,5482.87,19789.027,2922.81,4902.6,7530.72,382.27,6324.05,1.0702,160.74,1.2638,0.8985,0.6645,0.6082,10.6226,10.6221,1.3701,5.5019,18.419,18.464,23.39
6/28/2024,5460.48,19682.871,2930.09,4894.02,7479.4,384.02,6331.86,1.0713,160.83,1.2642,0.8987,0.6667,0.6084,10.5908,10.6642,1.3677,5.5925,18.33,18.185,23.347
7/1/2024,5475.09,19812.223,2900.55,4929.99,7561.13,384.34,6331.86,1.0738,161.45,1.2647,0.9028,0.6659,0.6074,10.6077,10.6492,1.3735,5.6603,18.337,18.365,23.413
7/2/2024,5509.01,20011.893,2910.61,4906.33,7538.29,381.2,6374.91,1.0744,161.44,1.2684,0.9037,0.6666,0.6078,10.576,10.6679,1.3676,5.6777,18.248,18.5903,23.397
7/3/2024,5537.02,20186.633,2917.86,4965.8,7632.08,383.23,6455.7,1.0786,161.68,1.274,0.9014,0.6704,0.6102,10.4815,10.5521,1.3638,5.5563,18.1592,18.4211,23.293
7/4/2024,5537.02,20186.633,2917.86,4987.48,7695.78,388.53,6470.86,1.081,161.25,1.2757,0.9001,0.6727,0.6117,10.5031,10.5658,1.3613,5.4887,18.077,18.2859,23.189
7/5/2024,5567.19,20391.966,2895.80,4979.39,7675.62,395.47,6382.27,1.0836,160.72,1.2808,0.896,0.6749,0.6145,10.4608,10.5555,1.3639,5.4592,18.0925,18.2269,23.164
7/8/2024,5572.85,20439.542,2905.65,4969.83,7627.45,394.47,6284.73,1.0822,160.81,1.2804,0.8975,0.6736,0.6124,10.5804,10.592,1.3635,5.4699,17.996,18.1066,23.243
