Name,Ticker,GICS Level 1 Sector,GICS Level 2 Sector,Port. Weight,SedolChk,ISIN,NTM_PE,Est 3-5 Yr EPS Growth,ROE,Operating Margin,P/E using FY1 Est ( Incl. Negative Values ),Dividend Yield,Price to Book,Market Capitalization,Quarter Report Date Standard Deviation - Historical,Quarter Report Date - Historical,Quarter Mean Estimate - Historical,Latest Quarter Mean Estimate,Latest Quarter Actual EPS,PEG using FY1 Est,sed,RIC Code,Company Common Name,GICS Sector Name,GICS Industry Group Name,GICS Sub-Industry Name,Company Market Cap,Price Close,1-day Price PCT Change,2-day Price PCT Change,1 Week Total Return,1 Month Total Return,3 Month Total Return,6 Month Total Return,52 Week Total Return,YTD Total Return,"AVG(TR.Volume(SDate=0D,EDate=0D-29D))",Return On Equity - Mean,P/E (Daily Time Series Ratio),"TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.BVPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=CY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=CY2022,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2019,SDate=0D,Curn=USD)-1",Volatility - 100 days,Dividend yield,Short Interest %,"Relative Valuation P/E, NTM",Earnings Per Share - Mean,Business Description
Amgen Inc.,AMGN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,0.28,2023607,US0311621009,12.50,4.3,--,30.24,13.2,3.47,18.52,"139,374",0.28,10/31/2024,5.27,5.27,5.58,3.06,2023607,AMGN.OQ,Amgen Inc,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,141182969695.95,259.30,-1.28,-1.47,-1.78,-8.33,-18.87,-15.76,-7.24,-7.24,1525832.97,132.61,33.18,12.55,14.67,13.34,0.01,0.00,0.21,24.56,3.67,2.15,12.63,20.66,"Amgen Inc. is a biotechnology company. The Company discovers, develops, manufactures and delivers various human therapeutics. It focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve health outcomes and improve people's lives. It operates in human therapeutics segment. The Company’s marketed products portfolio includes Aranesp, ENBREL, Prolia (denosumab), Neulasta (pegfilgrastim), Otezla, XGEVA, Aranesp (darbepoetin alfa), KYPROLIS, Repatha (evolocumab), Nplate (romiplostim), Vectibix (panitumumab), MVASI (bevacizumab-awwb), Parsabiv (etelcalcetide), EPOGEN (epoetin alfa), KANJINTI (trastuzumab-anns), BLINCYTO (blinatumomab), Aimovig (erenumab-aooe), EVENITY (romosozumab-aqqg), AMGEVITATM (adalimumab), Sensipar/Mimpara (cinacalcet), NEUPOGEN (filgrastim), IMLYGIC (talimogene laherparepvec), Corlanor (ivabradine), KYPROLIS (carfilzomib), Maridebart cafraglutide, (infliximab-axxq), Evenity, LumaKras, Nplate and XGeva, others."
Union Pacific Corporation,UNP,Industrials,Transportation,0.28,2914734,US9078181081,18.72,9.5,47.34,37.50,20.7,2.30,8.34,"138,248",0.06,10/24/2024,2.78,2.78,2.75,2.18,2914734,UNP.N,Union Pacific Corp,Industrials,Transportation,Rail Transportation,139396586246.11,227.79,-0.93,-1.06,0.29,-6.36,-7.05,1.78,-5.23,-5.23,776364.47,41.67,20.93,18.82,19.90,7.69,-0.01,0.00,0.35,20.59,2.35,0.94,18.95,12.10,"Union Pacific Corporation is a railroad operating company in the United States. The Company operates through its principal operating company, Union Pacific Railroad Company (UPRR). It connects over 23 states in the western two-thirds of the country and maintains coordinated schedules with other rail carriers to move freight to and from the Atlantic Coast, the Pacific Coast, the Southeast, the Southwest, Canada, and Mexico. Its Railroad's diversified business mix includes Bulk, Industrial, and Premium. Its Bulk shipments consist of grain and grain products, fertilizer, food and refrigerated, and coal and renewables. Its Industrial shipments consist of several categories, including construction, industrial chemicals, plastics, forest products, specialized products, metals and ores, petroleum, liquid petroleum gases (LPG), soda ash, and sand. Its Premium shipments include finished automobiles, automotive parts, and merchandise in intermodal containers, both domestic and international."
TJX Companies Inc,TJX,Consumer Discretionary,Consumer Discretionary Distribution & Retail,0.27,2989301,US8725401090,26.59,9.2,65.48,10.69,28.9,1.20,16.66,"136,148",0.02,11/20/2024,1.09,1.09,1.14,3.15,2989301,TJX.N,TJX Companies Inc,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Apparel Retail,139328146114.26,121.09,-2.30,-3.14,-0.56,-3.66,3.34,10.70,30.86,30.86,1841317.43,59.90,28.51,26.57,40.65,14.50,0.01,0.00,0.22,17.64,1.24,1.18,26.57,4.56,"The TJX Companies, Inc. is an off-price apparel and home fashions retailer in the United States and worldwide. The Company’s segments include Marmaxx and HomeGoods, TJX Canada and TJX International. The TJ Maxx and Marshalls chains in the United States sell family apparel, including footwear and accessories, home fashions, including home basics, decorative accessories, and giftware and other merchandise. The HomeGoods segment operates HomeGoods and Homesense chains. HomeGoods offers an eclectic assortment of home fashions, including furniture, rugs, lighting, soft home, decorative accessories, tabletop, and cookware, as well as expanded pet and gourmet food departments. The TJX Canada segment operates the Winners, HomeSense and Marshalls chains in Canada. TJX Canada segment chain offers a range of home decor, furniture, and seasonal home merchandise. The TJX International segment operates the TK Maxx and Homesense chains in Europe and the TK Maxx chain in Australia."
"Applied Materials, Inc.",AMAT,Information Technology,Semiconductors & Semiconductor Equipment,0.27,2046552,US0382221051,17.10,10.9,40.61,28.95,17.4,0.93,7.04,"133,858",0.04,11/15/2024,2.19,2.19,2.32,1.60,2046552,AMAT.OQ,Applied Materials Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,135747008157.54,163.64,-1.91,-2.33,-2.28,-6.34,-18.83,-30.36,1.76,1.76,2712884.70,37.32,19.02,17.00,22.02,6.22,-0.01,0.00,1.47,43.19,0.98,2.17,17.02,9.62,"Applied Materials, Inc. is a materials engineering solutions provider. The Company provides manufacturing equipment, services and software to the semiconductor, display and related industries. Its segments include Semiconductor Systems, Applied Global Services (AGS), and Display and Adjacent Markets. Semiconductor Systems segment develops, manufactures and sells a range of manufacturing equipment used to fabricate semiconductor chips, also referred to as integrated circuits (ICs). AGS segment provides integrated solutions to optimize equipment and fab performance and productivity, including spares, upgrades, services, remanufactured earlier generation equipment and factory automation software for semiconductor, display and other products. Display and Adjacent Markets segment is comprised of products for manufacturing liquid crystal displays (LCDs), organic light-emitting diodes (OLEDs), and other display technologies for monitors, smart phones, and other consumer-oriented devices."
Citigroup Inc.,C,Financials,Banks,0.27,2297907,US1729674242,9.68,25.8,4.24,8.92,12.1,3.10,0.69,"133,126",0.07,10/15/2024,1.31,1.31,1.51,0.47,2297907,C.N,Citigroup Inc,Financials,Banks,Diversified Banks,134279801013.00,70.39,-0.86,-1.35,0.89,-0.68,13.45,13.03,40.77,40.77,3622317.73,6.04,20.37,9.71,10.05,0.64,0.06,0.00,-0.09,27.84,3.18,1.91,9.67,7.25,"Citigroup Inc. is a diversified financial services holding company. Its segments include Services, Markets, Banking, U.S. Personal Banking (USPB) and Wealth. Services segment includes treasury and trade solutions (TTS) and securities services. TTS provides an integrated suite of tailored cash management, trade and working capital solutions to multinational corporations, financial institutions and public sector organizations. Markets segment provides corporate, institutional and public sector clients around the world with a full range of sales and trading services across equities, foreign exchange, rates, spread products and commodities. Banking segment includes investment banking, which supports client capital-raising needs to help strengthen and grow their businesses. USPB segment includes branded cards and retail services, which have proprietary card portfolios and co-branded card portfolios. Wealth includes private bank, wealth at work and Citigold and provides financial services."
Boston Scientific Corporation,BSX,Health Care,Health Care Equipment & Services,0.26,2113434,US1011371077,32.02,12.7,8.52,15.32,36.4,--,6.38,"132,138",0.01,10/23/2024,0.59,0.59,0.63,2.87,2113434,BSX.N,Boston Scientific Corp,Health Care,Health Care Equipment & Services,Health Care Equipment,133617199790.10,89.68,-1.08,-1.94,-0.20,-1.08,7.02,16.45,55.13,55.13,1891126.07,16.75,74.14,32.01,51.73,5.44,0.05,0.00,0.11,15.27,NULL,0.84,31.95,2.80,"Boston Scientific Corporation is a global developer, manufacturer and marketer of medical devices that are used in a range of interventional medical specialties. Its MedSurg segment includes Endoscopy, Urology and Neuromodulation. Its Endoscopy business develops and manufactures devices to diagnose and treat a broad range of gastrointestinal (GI) and pulmonary conditions with less invasive technologies. Its Urology business develops and manufactures devices to treat various urological conditions for both male and female anatomies. Its Neuromodulation business develops and manufactures devices to treat various neurological movement disorders and manage chronic pain. Its Cardiovascular segment includes Cardiology and Peripheral Interventions. Its Interventional Cardiology Therapies business develops and manufactures technologies for diagnosing and treating coronary artery disease and aortic valve conditions. It also owns the transcarotid artery revascularization (TCAR) platform."
Boeing Company,BA,Industrials,Capital Goods,0.26,2108601,US0970231058,152.03,6.0,--,-1.05,-11.0,--,--,"109,072",0.26,10/23/2024,-10.35,-10.35,-10.44,--,2108601,BA.N,Boeing Co,Industrials,Capital Goods,Aerospace & Defense,135210364009.20,176.55,-2.31,-2.12,-0.64,13.58,16.12,-3.00,-32.27,-32.27,2067958.77,95.96,NULL,1212.15,-19.90,-73.93,-0.93,0.00,-16.56,32.98,NULL,3.06,2879.52,0.15,"The Boeing Company is an aerospace company. The Company operates in three segments: Commercial Airplanes (BCA), Defense, Space & Security (BDS), Global Services (BGS). Its BCA segment develops, produces and markets commercial jet aircraft to the commercial airline industry worldwide. Its family of commercial jet aircraft in production includes the 737 narrow-body model and the 767, 777 and 787 wide-body models. Its BDS segment is engaged in the research, development, production and modification of manned and unmanned military aircraft and weapons systems strike, surveillance and mobility. Its BGS segment provides services to its commercial and defense customers worldwide. It sustains aerospace platforms and systems with a range of products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and others."
Eaton Corp. Plc,ETN,Industrials,Capital Goods,0.26,B8KQN82,IE00B8KQN827,27.54,13.6,17.84,17.22,30.8,1.13,6.87,"131,357",0.03,10/31/2024,2.80,2.80,2.84,2.27,B8KQN82,ETN.N,Eaton Corporation PLC,Industrials,Capital Goods,Electrical Components & Equipment,132245776000.00,332.38,-0.67,-2.29,-1.58,-11.46,0.57,6.67,39.74,39.74,513749.40,21.13,35.36,27.68,44.00,6.13,0.02,0.00,0.32,25.55,1.13,1.23,27.55,12.01,"Eaton Corporation plc is an intelligent power management company. Its Electrical Americas segment consists of electrical components, industrial components, power distribution and assemblies, residential products, single phase power quality and connectivity, wiring devices and others. The Electrical Global segment consists of electrical components, industrial components, power distribution and assemblies, single phase and three phase power quality, and services. The Aerospace segment is a global supplier of aerospace fuel, hydraulics, and pneumatic systems for commercial and military use and filtration systems for industrial applications. The Vehicle segment designs, manufactures, markets, and supplies of drivetrain, powertrain systems and critical components. The eMobility segment designs, manufactures, markets, and supplies mechanical, electrical, and electronic components and systems. The Company is also engaged in providing thermal monitoring for critical electrical equipment."
"Uber Technologies, Inc.",UBER,Industrials,Transportation,0.26,BK6N347,US90353T1007,25.56,28.9,20.30,3.23,33.6,--,8.65,"127,871",0.04,10/31/2024,0.37,0.37,1.20,1.16,BK6N347,UBER.N,Uber Technologies Inc,Industrials,Transportation,Passenger Ground Transportation,128722011037.25,60.77,-0.59,-1.28,-1.78,-15.55,-19.15,-16.39,-1.30,-1.30,4781535.93,32.83,29.76,25.87,-12.00,5.97,0.14,0.00,-0.25,39.72,NULL,2.95,24.76,2.35,"Uber Technologies, Inc. is a technology company, which develops and operates proprietary technology applications supporting a variety of offerings on its platform (Platform(s)). The Company connects consumers (Rider(s)) with independent providers of ride services (Mobility Driver(s)) for ride sharing services and connects Riders and other consumers (Eater(s)) with restaurants, grocers and other stores with delivery service providers (Couriers) for meal preparation, grocery and other delivery services. The Company also connects consumers with public transportation networks. It also connects shippers with carriers in the freight industry. It is also developing technologies designed to provide new solutions to solve everyday problems. Its technology is available in approximately 70 countries around the world, principally in the United States and Canada, Latin America, Europe (excluding Russia), the Middle East, Africa, and Asia (excluding China and Southeast Asia)."
ConocoPhillips,COP,Energy,Energy,0.25,2685717,US20825C1045,12.44,4.5,22.45,26.81,12.6,3.21,2.24,"111,742",0.11,10/31/2024,1.67,1.67,1.78,2.80,2685717,COP.N,ConocoPhillips,Energy,Energy,Oil & Gas Exploration & Production,125372039604.28,97.09,0.18,0.21,0.74,-10.38,-7.13,-13.92,-14.03,-14.03,2788177.67,17.95,11.53,12.11,6.93,2.08,-0.06,0.00,2.85,25.71,3.21,1.01,12.28,8.02,"ConocoPhillips is an exploration and production company. The Company operates through six segments. The Alaska segment primarily explores for, produces, transports and markets crude oil, natural gas, and natural gas liquids (NGLs). The Lower 48 segment consists of operations located in the 48 contiguous United States and the Gulf of Mexico. Its Canada segments consist of the Surmont oil sands developments in Alberta and British Columbia. The Europe, Middle East and North Africa segment consists of operations principally located in the Norwegian sector of the North Sea, the Norwegian Sea, Qatar, Libya, and commercial and terminal operations in the United Kingdom. The Asia Pacific segment has exploration and production operations in China, Malaysia, Australia and commercial operations in China, Singapore, and Japan. The Other International segment includes interests in Colombia as well as contingencies associated with prior operations in other countries."
