Name,Ticker,GICS Level 1 Sector,GICS Level 2 Sector,Port. Weight,SedolChk,ISIN,NTM_PE,Est 3-5 Yr EPS Growth,ROE,Operating Margin,P/E using FY1 Est ( Incl. Negative Values ),Dividend Yield,Price to Book,Market Capitalization,Quarter Report Date Standard Deviation - Historical,Quarter Report Date - Historical,Quarter Mean Estimate - Historical,Latest Quarter Mean Estimate,Latest Quarter Actual EPS,PEG using FY1 Est,sed,RIC Code,Company Common Name,GICS Sector Name,GICS Industry Group Name,GICS Sub-Industry Name,Company Market Cap,Price Close,1-day Price PCT Change,2-day Price PCT Change,1 Week Total Return,1 Month Total Return,3 Month Total Return,6 Month Total Return,52 Week Total Return,YTD Total Return,"AVG(TR.Volume(SDate=0D,EDate=0D-29D))",Return On Equity - Mean,P/E (Daily Time Series Ratio),"TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.BVPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=CY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=CY2022,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2019,SDate=0D,Curn=USD)-1",Volatility - 100 days,Dividend yield,Short Interest %,"Relative Valuation P/E, NTM",Earnings Per Share - Mean,Business Description
Apple Inc.,AAPL,Information Technology,Technology Hardware & Equipment,7.62,2046251,US0378331005,33.20,7.9,--,31.51,34.2,0.39,66.94,"3,812,454",0.03,11/01/2024,1.60,1.60,0.97,4.31,2046251,AAPL.OQ,Apple Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3863453200570.00,252.20,-1.33,-2.63,-1.20,6.27,8.36,20.01,31.63,31.63,17980394.87,191.87,41.55,33.07,41.36,63.67,0.01,0.00,1.09,18.19,0.40,1.04,32.84,7.63,"Apple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. Its product categories include iPhone, Mac, iPad, and Wearables, Home and Accessories. Its software platforms include iOS, iPadOS, macOS, watchOS, visionOS, and tvOS. Its services include advertising, AppleCare, cloud services, digital content and payment services. The Company operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts. It also offers digital content through subscription-based services, including Apple Arcade, Apple Fitness+, Apple Music, Apple News+, and Apple TV+. Its products include iPhone 16 Pro, iPhone 16, iPhone 15, iPhone 14, iPhone SE, MacBook Air, MacBook Pro, iMac, Mac mini, Mac Studio, Mac Pro, iPad Pro, iPad Air, AirPods, AirPods Pro, AirPods Max, Apple TV and Apple Vision Pro."
NVIDIA Corporation,NVDA,Information Technology,Semiconductors & Semiconductor Equipment,6.74,2379504,US67066G1040,32.00,42.0,91.46,54.12,46.5,0.02,51.13,"3,369,605",0.02,11/21/2024,0.75,0.75,0.81,1.11,2379504,NVDA.OQ,NVIDIA Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,3355374900000.00,137.49,0.35,-1.74,-1.56,-0.54,13.22,11.31,177.71,177.71,49508873.87,99.35,54.18,31.95,316.43,19.99,0.15,0.00,1.65,44.96,0.03,1.14,31.15,4.30,"NVIDIA Corporation is a full-stack computing infrastructure company. The Company is engaged in accelerated computing to help solve the challenging computational problems. The Company’s segments include Compute & Networking and Graphics. The Compute & Networking segment includes its Data Center accelerated computing platforms and artificial intelligence (AI) solutions and software; networking; automotive platforms and autonomous and electric vehicle solutions; Jetson for robotics and other embedded platforms, and DGX Cloud computing services. The Graphics segment includes GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems, and Omniverse Enterprise software for building and operating three-dimensional Internet applications."
Microsoft Corporation,MSFT,Information Technology,Software & Services,6.31,2588173,US5949181045,30.12,12.8,37.13,44.64,32.5,0.72,10.98,"3,159,036",0.04,10/31/2024,3.10,3.10,3.30,2.53,2588173,MSFT.OQ,Microsoft Corp,Information Technology,Software & Services,Systems Software,3200939220491.28,424.83,-1.32,-3.03,-2.39,0.32,-1.07,-4.59,13.81,13.81,7937478.70,33.13,35.07,30.34,45.73,7.96,0.02,0.00,1.02,19.76,0.78,0.81,30.22,14.00,"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising."
"Amazon.com, Inc.",AMZN,Consumer Discretionary,Consumer Discretionary Distribution & Retail,4.14,2000019,US0231351067,35.47,15.8,17.49,6.54,43.1,--,8.98,"2,326,084",0.07,11/01/2024,1.14,1.14,1.43,2.72,2000019,AMZN.OQ,Amazon.com Inc,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,2352733713040.00,221.30,-1.09,-2.53,-1.67,6.45,18.77,14.51,45.65,45.65,12636474.33,23.68,47.43,35.75,-1873.68,6.42,0.10,0.00,-1.11,28.21,NULL,0.79,35.50,6.19,"Amazon.com, Inc. provides a range of products and services to customers. The products offered through its stores include merchandise and content it has purchased for resale and products offered by third-party sellers. The Company’s segments include North America, International and Amazon Web Services (AWS). It serves consumers through its online and physical stores and focuses on selection, price, and convenience. Customers access its offerings through its Websites, mobile apps, Alexa, devices, streaming, and physically visiting its stores. It manufactures and sells electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero, and it develops and produces media content. It serves developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services."
Meta Platforms Inc Class A,META,Communication Services,Media & Entertainment,2.58,B7TL820,US30303M1027,23.30,10.9,28.04,37.21,26.1,0.25,9.07,"1,492,290",0.24,10/31/2024,5.25,5.25,6.03,2.40,B7TL820,META.OQ,Meta Platforms Inc,Communication Services,Media & Entertainment,Interactive Media & Services,1514213466978.73,591.24,-1.43,-2.01,-1.44,3.03,3.37,17.46,67.67,67.67,4001609.47,33.67,27.26,23.33,65.08,6.43,0.07,0.00,0.41,24.98,0.34,1.16,23.08,25.34,"Meta Platforms, Inc. builds technology that helps people connect and share, find communities, and grow businesses. The Company’s products enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) and mixed reality (MR) headsets, and wearables. It operates through two segments: Family of Apps (FoA) and Reality Labs (RL). The FoA segment includes Facebook, Instagram, Messenger, Threads and WhatsApp. The RL includes augmented, mixed and virtual reality related consumer hardware, software, and content. Instagram is a place where people and creators can connect and express themselves through photos, video, and private messaging, and discover and shop from their favorite businesses. Threads is an application for text-based updates and public conversations. Its RL product offerings in VR include Meta Quest devices, and software and content available through the Meta Quest Store, which enable a range of social experiences."
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobiles & Components,2.33,B616C79,US88160R1014,124.80,8.5,27.95,9.19,172.4,--,19.14,"1,338,634",0.08,10/24/2024,0.59,0.59,0.72,20.34,B616C79,TSLA.OQ,Tesla Inc,Consumer Discretionary,Automobiles & Components,Automobile Manufacturers,1385654352403.94,417.41,-3.30,-8.09,-3.06,20.93,59.54,110.94,67.99,67.99,18250671.30,10.84,114.45,128.28,104.05,17.37,0.11,0.00,-135.08,67.17,NULL,2.52,128.13,3.25,"Tesla, Inc. designs, develops, manufactures, sells and leases high-performance fully electric vehicles and energy generation and storage systems, and offers services related to its products. The Company's segments include automotive, and energy generation and storage. The automotive segment includes the design, development, manufacturing, sales and leasing of high-performance fully electric vehicles, and sales of automotive regulatory credits. It also includes sales of used vehicles, non-warranty after-sales vehicle services, body shop and parts, paid supercharging, vehicle insurance and retail merchandise. Its consumer vehicles include the Model 3, Y, S, X and Cybertruck. The energy generation and storage segment includes the design, manufacture, installation, sales and leasing of solar energy generation and energy storage products and related services and sales of solar energy systems incentives. Its lithium-ion battery energy storage products include Powerwall and Megapack."
Alphabet Inc. Class A,GOOGL,Communication Services,Media & Entertainment,2.23,BYVY8G0,US02079K3059,21.31,11.6,27.36,28.05,23.8,0.21,7.47,"2,345,367",0.06,10/30/2024,1.84,1.84,2.12,2.06,BYVY8G0,GOOGL.OQ,Alphabet Inc,Communication Services,Media & Entertainment,Interactive Media & Services,2366658680000.00,191.24,-0.79,-2.23,-1.74,13.32,15.44,5.25,37.40,37.40,10664255.47,32.55,25.05,21.34,40.71,5.86,0.05,0.00,1.03,26.80,0.42,1.06,21.25,8.96,"Alphabet Inc. is a holding company. The Company's segments include Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment includes infrastructure and platform services, collaboration tools, and other services for enterprise customers. Its Other Bets segment is engaged in the sale of healthcare-related services and Internet services. Its Google Cloud provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Google Cloud Platform provides access to solutions such as cybersecurity, databases, analytics, and artificial intelligence (AI) offerings, including its AI infrastructure, Vertex AI platform, and Duet AI for Google Cloud. Google Workspace includes cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, Meet and other enterprise services."
Broadcom Inc.,AVGO,Information Technology,Semiconductors & Semiconductor Equipment,2.20,BDZ78H9,US11135F1012,35.93,27.1,13.46,29.57,37.1,0.89,16.31,"1,103,928",0.02,12/13/2024,1.39,1.39,1.42,1.37,BDZ78H9,AVGO.OQ,Broadcom Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1133168350713.00,235.58,-2.55,-3.99,1.39,45.72,36.91,47.57,113.83,113.83,12491236.67,37.32,184.20,36.31,62.93,12.86,0.05,0.00,0.76,59.29,1.00,1.46,36.32,6.49,"Broadcom Inc. is a global technology company that designs, develops, and supplies a broad range of semiconductors, enterprise software and security solutions. The Company operates through two segments: semiconductor solutions and infrastructure software. The Company's semiconductor solutions segment includes all of its product lines and intellectual property (IP) licensing. It provides semiconductor solutions for managing the movement of data in data center, service provider and enterprise networking applications. Its infrastructure software segment includes its mainframe, distributed and cybersecurity solutions, and its fiber channel storage area networking (FC SAN) business. It provides a portfolio of software solutions that enables customers to plan, develop, automate, manage and secure applications across mainframe, distributed, mobile and cloud platforms. Its product portfolio serves markets, including cloud, data center, networking, broadband, wireless and enterprise software."
Alphabet Inc. Class C,GOOG,Communication Services,Media & Entertainment,1.83,BYY88Y7,US02079K1079,21.47,11.6,27.36,28.05,24.0,0.21,7.52,"2,363,150",0.06,10/30/2024,1.84,1.84,2.12,2.08,BYY88Y7,GOOG.OQ,Alphabet Inc,Communication Services,Media & Entertainment,Interactive Media & Services,2366658680000.00,192.69,-0.70,-2.24,-1.68,13.15,15.38,5.31,37.22,37.22,8141216.80,32.22,25.05,21.58,40.97,5.89,0.05,0.00,1.03,26.63,0.42,NULL,21.64,8.93,"Alphabet Inc. is a holding company. The Company's segments include Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment includes infrastructure and platform services, collaboration tools, and other services for enterprise customers. Its Other Bets segment is engaged in the sale of healthcare-related services and Internet services. Its Google Cloud provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Google Cloud Platform provides access to solutions such as cybersecurity, databases, analytics, and artificial intelligence (AI) offerings, including its AI infrastructure, Vertex AI platform, and Duet AI for Google Cloud. Google Workspace includes cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, Meet and other enterprise services."
Berkshire Hathaway Inc. Class B,BRK.B,Financials,Financial Services,1.66,2073390,US0846707026,22.44,--,18.62,13.20,22.9,--,1.55,"975,043",0.63,11/04/2024,4.89,4.89,4.68,--,2073390,BRKb.N,Berkshire Hathaway Inc,Financials,Financial Services,Multi-Sector Holdings,984502858123.66,452.16,-0.95,-1.51,-0.48,-6.39,-1.76,11.15,26.78,26.78,1311513.97,5.00,9.13,22.46,31.11,1.41,-0.01,0.00,0.40,15.74,NULL,NULL,22.38,20.14,"Berkshire Hathaway Inc. and its subsidiaries are engaged in diverse business activities, including insurance and reinsurance, utilities and energy, freight rail transportation, manufacturing, services and retailing. The Company’s segments include Insurance; Railroad (BNSF); Berkshire Hathaway Energy (BHE); Pilot Travel Centers (Pilot); Manufacturing; McLane Company (McLane), and Service and retailing. The Insurance segment includes GEICO, Berkshire Hathaway Primary Group and Berkshire Hathaway Reinsurance Group. The BNSF segment includes operation of railroad systems in North America through Burlington Northern Santa Fe, LLC. The BHE segment offers regulated electric and gas utilities. The Manufacturing segment manufacturers various products, including industrial, consumer and building products. The McLane segment is engaged in wholesale distribution of groceries and non-food items. The Pilot segment is an operator of travel centers in North America and a marketer of wholesale fuel."
JPMorgan Chase & Co.,JPM,Financials,Banks,1.35,2190385,US46625H1005,14.09,2.6,16.89,26.34,13.0,1.92,2.08,"673,767",0.13,10/11/2024,3.99,3.99,4.37,5.05,2190385,JPM.N,JPMorgan Chase & Co,Financials,Banks,Diversified Banks,678975649573.74,239.32,-0.77,-1.57,0.39,-4.16,14.17,19.69,44.03,44.03,3006467.17,16.69,13.31,14.17,20.61,1.92,-0.01,0.00,0.11,26.66,2.09,1.04,13.92,16.89,"JPMorgan Chase & Co. is a financial holding company. The Company is engaged in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management. The Company operates through three segments: Consumer & Community Banking (CCB), Commercial & Investment Bank (CIB), and Asset & Wealth Management (AWM). Its CCB segment offers products and services to consumers and small businesses through bank branches, ATMs, digital and telephone banking. Its CIB segment consists of banking and payments and markets and securities services, and offers a suite of investment banking, lending, payments, market-making, financing, custody and securities products and services to a global base of corporate and institutional clients. AWM segment offers investment and wealth management solutions. It offers multi-asset investment management solutions, retirement products and services, brokerage, custody, estate planning, and others."
Eli Lilly and Company,LLY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,1.22,2516152,US5324571083,34.19,36.3,48.93,30.26,58.8,0.67,51.64,"735,314",0.22,10/30/2024,1.42,1.42,1.18,1.62,2516152,LLY.N,Eli Lilly and Co,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,743475572069.98,773.84,-1.19,-2.56,-2.82,-2.70,-12.50,-14.26,33.62,33.62,891129.17,86.62,83.59,34.22,101.14,23.96,0.03,0.00,0.32,32.44,0.78,0.61,33.36,22.61,"Eli Lilly and Company is a medicine company. The Company discovers, develops, manufactures and markets products in the human pharmaceutical products segment. Its diabetes, obesity and other cardiometabolic products include Basaglar, Humalog, Mounjaro, Trulicity and Zepbound. Its oncology products include Alimta, Retevmo, Tyvyt and Verzenio. Its immunology products include Ebglyss, Olumiant, Omvoh and Taltz. Its neuroscience products include Cymbalta and Emgality. Its other products and therapies include Cialis and Forteo. It manufactures and distributes its products through facilities in the United States (U.S.), including Puerto Rico, and in Europe and Asia. The Company, through its subsidiary, POINT Biopharma Global Inc., is engaged in radiopharmaceutical discovery, development, and manufacturing, as well as clinical and pre-clinical radioligand therapies. It is also developing oral small molecule inhibitor of ?4?7 integrin (known as MORF-057) for inflammatory bowel disease (IBD)."
Visa Inc. Class A,V,Financials,Financial Services,1.09,B2PZN04,US92826C8394,27.27,13.1,51.79,67.25,28.2,0.68,16.27,"619,895",0.02,10/30/2024,2.58,2.58,2.71,2.16,B2PZN04,V.N,Visa Inc,Financials,Financial Services,Transaction & Payment Processing Services,624903073408.44,315.31,-1.05,-1.75,-0.60,0.07,14.90,20.60,22.04,22.04,2634854.73,55.78,33.82,27.27,42.50,15.87,0.03,0.00,0.37,18.32,0.75,1.28,27.22,11.56,"Visa Inc. is a global payments technology company. It facilitates global commerce and money movement across more than 200 countries and territories among a global set of consumers, merchants, financial institutions and government entities through technologies. It operates through the Payment Services segment. It provides transaction processing services (primarily authorization, clearing and settlement) to its financial institution and merchant clients through VisaNet, its proprietary advanced transaction processing network. It offers a range of Visa-branded payment products that its clients, including nearly 14,500 financial institutions, use to develop and offer payment solutions or services, including credit, debit, prepaid and cash access programs for individual, business and government account holders. It also provides value-added services to its clients, including issuing solutions, acceptance solutions, risk and identity solutions, open banking solutions and advisory services."
UnitedHealth Group Incorporated,UNH,Health Care,Health Care Equipment & Services,0.93,2917766,US91324P1021,17.01,11.7,26.88,7.76,18.4,1.57,4.96,"468,699",0.07,10/15/2024,7.01,7.01,7.15,1.58,2917766,UNH.N,Unitedhealth Group Inc,Health Care,Health Care Equipment & Services,Managed Health Care,469335807496.66,507.80,-0.43,-0.66,0.29,-16.47,-12.82,0.44,-2.04,-2.04,1405079.93,23.45,33.02,17.01,23.05,4.23,-0.02,0.00,0.47,29.43,1.65,0.70,17.03,29.86,"UnitedHealth Group Incorporated is a healthcare company. The Company has two businesses, Optum and UnitedHealthcare. Optum serves the health care marketplace, including patients and consumers, payers, care providers, employers, governments and life sciences companies. UnitedHealthcare offers a full range of health benefits designed to simplify the health care experience and make it more affordable for consumers to access care. UnitedHealthcare Employer & Individual serves consumers and employers, ranging from sole proprietorships to large, multi-site and national employers and public sector employers. UnitedHealthcare Medicare & Retirement delivers health and well-being benefits to seniors and other Medicare eligible consumers. The Company’s segments include Optum Health, Optum Insight, Optum Rx and UnitedHealthcare. UnitedHealthcare segment includes UnitedHealthcare Employer & Individual, UnitedHealthcare Medicare & Retirement and UnitedHealthcare Community & State."
Exxon Mobil Corporation,XOM,Energy,Energy,0.93,2326618,US30231G1022,13.39,2.4,18.01,13.00,13.3,3.63,1.73,"464,815",0.04,11/01/2024,1.88,1.88,1.92,5.54,2326618,XOM.N,Exxon Mobil Corp,Energy,Energy,Integrated Oil & Gas,467989666193.28,105.76,-0.68,-0.69,-0.51,-10.34,-9.04,-6.64,9.39,9.39,5088900.97,14.40,13.19,13.54,7.59,1.71,-0.08,0.00,4.77,20.14,3.74,1.03,13.69,7.81,"Exxon Mobil Corporation is an international energy and petrochemical company. Its primary businesses include exploration for, and production of, crude oil and natural gas; manufacturing, transport and sale of crude oil, natural gas, petroleum products, petrochemicals, and a variety of specialty products; and pursuit of lower-emission business opportunities including carbon capture and storage, hydrogen, lower-emission fuels and lithium. The Upstream segment explores for and produces crude oil and natural gas. The Energy Products, Chemical Products and Specialty Products segments manufacture and sell petroleum products and petrochemicals. Energy Products include fuels, aromatics, and catalysts and licensing. Its Chemical Products consist of olefins, polyolefins, and intermediates. Its Specialty Products include finished lubricants, synthetics, and elastomers and resins. It also focuses on net-zero greenhouse gas emissions from its operated unconventional operations in the Permian Basin."
Mastercard Incorporated Class A,MA,Financials,Financial Services,0.86,B121557,US57636Q1040,32.32,15.4,--,57.84,36.3,0.50,64.99,"483,506",0.05,10/31/2024,3.74,3.74,3.89,2.36,B121557,MA.N,Mastercard Inc,Financials,Financial Services,Transaction & Payment Processing Services,488469673101.60,525.55,-1.25,-1.98,-0.64,-1.39,6.57,19.46,23.93,23.93,808450.57,189.55,39.72,32.24,49.74,49.17,0.00,0.00,0.37,14.53,0.58,0.60,32.15,16.30,"Mastercard Incorporated is a technology company that connects consumers, financial institutions, merchants, governments and businesses across the world, enabling them to use electronic forms of payment. It allows users to make payments by creating a range of payment solutions and services using its brands: MasterCard, Maestro and Cirrus. It enables a variety of payments capabilities (including products and value-added services and solutions) over its multi-rail network among account holders, merchants, financial institutions, businesses, governments and others, offering customers one partner for their payment needs. Its products include consumer credit, consumer debit, prepaid, B2B accounts payable, commercial point of sale, disbursements and remittances, and others. It offers additional payment capabilities that include automated clearing house (ACH) transactions (both batch and real-time account-based payments). It also offers other services, such as cyber and intelligence solutions."
Costco Wholesale Corporation,COST,Consumer Staples,Consumer Staples Distribution & Retail,0.82,2701271,US22160K1051,49.31,8.2,30.27,3.65,51.0,0.49,16.74,"409,408",0.09,12/13/2024,3.76,3.76,4.04,6.25,2701271,COST.OQ,Costco Wholesale Corp,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,417131768139.00,922.21,-1.86,-3.55,-2.92,-5.11,4.16,8.79,40.52,40.52,736727.27,30.39,54.16,49.03,70.24,13.42,0.04,0.00,0.62,18.02,0.50,1.45,48.69,18.81,"Costco Wholesale Corporation (Costco) operates membership warehouses and e-commerce sites that offer a selection of nationally branded and private-label products in a wide range of categories. The Company buys the majority of its merchandise directly from suppliers and route it to cross-docking consolidation points (depots) or directly to its warehouses. It operates 891 warehouses, including 614 in the United States and Puerto Rico, 108 in Canada, 40 in Mexico, 35 in Japan, 29 in the United Kingdom, 19 in Korea, 15 in Australia, 14 in Taiwan, seven in China, five in Spain, two in France, and one each in Iceland, New Zealand and Sweden. It also operates e-commerce sites in the United States, Canada, the United Kingdom, Mexico, Korea, Taiwan, Japan and Australia. The Company provides wide selection of merchandise, plus the convenience of specialty departments and exclusive member services."
Procter & Gamble Company,PG,Consumer Staples,Household & Personal Products,0.79,2704407,US7427181091,23.25,6.0,30.58,24.03,24.1,2.37,7.71,"393,504",0.03,10/18/2024,1.90,1.90,1.93,4.01,2704407,PG.N,Procter & Gamble Co,Consumer Staples,Household & Personal Products,Household Products,399250224317.37,167.09,-1.44,-1.80,-0.61,-6.79,-2.96,2.52,16.86,16.86,2684080.30,31.94,28.82,23.25,28.69,6.86,0.01,0.00,0.30,14.75,2.41,0.75,23.29,7.19,"The Procter & Gamble Company is focused on providing branded consumer packaged goods to consumers across the world. The Company’s segments include Beauty, Grooming, Health Care, Fabric & Home Care and Baby, Feminine & Family Care. The Company’s products are sold in approximately 180 countries and territories primarily through mass merchandisers, e-commerce, including social commerce channels, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, including airport duty-free stores), high-frequency stores, pharmacies, electronics stores and professional channels. It also sells direct to individual consumers. It has operations in approximately 70 countries. It offers products under brands, such as Head & Shoulders, Herbal Essences, Pantene, Rejoice, Olay, Old Spice, Safeguard, Secret, SK-II, Braun, Gillette, Venus, Crest, Oral-B, Ariel, Downy, Gain, Tide, Always, Always Discreet, Tampax, Bounty and others."
Walmart Inc.,WMT,Consumer Staples,Consumer Staples Distribution & Retail,0.79,2936921,US9311421039,33.06,9.8,19.32,4.17,36.5,0.90,8.26,"727,639",0.01,11/19/2024,0.53,0.53,0.58,3.72,2936921,WMT.N,Walmart Inc,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,736340180466.90,90.57,-1.19,-2.39,0.24,-1.87,12.41,34.43,74.40,74.40,5695779.93,21.63,37.23,33.11,42.34,7.12,0.03,0.00,0.33,18.97,0.92,0.50,33.00,2.74,"Walmart Inc. is a technology-powered omnichannel retailer. The Company is engaged in the operation of retail and wholesale stores and clubs, as well as e-commerce websites and mobile applications, located throughout the United States, Africa, Canada, Central America, Chile, China, India and Mexico. It operates through three segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment includes the Company's mass merchant concept in the United States, as well as e-commerce, which includes omni-channel initiatives and certain other business offerings such as advertising services through Walmart Connect. It operates under the Walmart and Walmart Neighborhood Market brands. The Walmart International segment consists of the Company's operations outside of the United States, as well as e-commerce and omni-channel initiatives. The Sam's Club segment includes the warehouse membership clubs in the United States, as well as e-commerce and omni-channel initiatives."
"Home Depot, Inc.",HD,Consumer Discretionary,Consumer Discretionary Distribution & Retail,0.77,2434209,US4370761029,24.96,3.3,--,14.21,25.8,2.31,66.83,"386,704",0.08,11/12/2024,3.65,3.65,3.78,7.86,2434209,HD.N,Home Depot Inc,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Home Improvement Retail,390252435750.32,389.43,-0.87,-1.45,-0.77,-9.25,-3.39,14.42,15.12,15.12,990206.17,396.40,26.45,25.09,25.16,29.32,0.01,0.00,0.58,19.23,2.31,1.15,25.00,15.52,"The Home Depot, Inc. is a home improvement retailer. The Company offers a wide assortment of building materials, home improvement products, lawn and garden products, decor products, and facilities maintenance, repair, and operations products. It also provides various services, including home improvement installation services and tool and equipment rental. The Company operates approximately 2,335 stores located throughout the United States including the Commonwealth of Puerto Rico and the territories of the U.S. Virgin Islands and Guam, Canada, and Mexico. The Home Depot stores average approximately 104,000 square feet of enclosed space, with approximately 24,000 additional square feet of outside garden area. It also maintains a network of distribution and fulfillment centers, as well as various e-commerce websites in the United States, Canada, and Mexico. The Company serves two primary customer groups: do-it-yourself (DIY) Customers and Professional Customers (Pros)."
"Netflix, Inc.",NFLX,Communication Services,Media & Entertainment,0.77,2857817,US64110L1061,37.81,31.8,26.15,20.62,45.4,--,16.94,"384,896",0.07,10/18/2024,5.12,5.12,5.40,1.43,2857817,NFLX.OQ,Netflix Inc,Communication Services,Media & Entertainment,Movies & Entertainment,387939611360.70,900.43,-0.78,-2.57,-1.21,1.54,26.95,33.42,84.94,84.94,1030022.87,37.80,50.95,37.75,86.87,13.23,0.07,0.00,2.06,28.16,NULL,1.69,37.73,23.85,"Netflix, Inc. is a provider of entertainment services. The Company acquires, licenses and produces content, including original programming. The Company provides paid memberships in approximately 190 countries offering television (TV) series, films and games across a wide variety of genres and languages. Its members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Company offers members the ability to receive streaming content through a host of Internet-connected devices, including TVs, digital video players, TV set-top boxes and mobile devices. The Company also has agreements with various cable, satellite and telecommunications operators to make its service available through TV set-top boxes. The Company's paid plans range from the United States dollar equivalent of $1 to $28 per month, and pricing on its extra member sub accounts range from the United States dollar equivalent of $2 to $8 per month."
Johnson & Johnson,JNJ,Health Care,Pharmaceuticals Biotechnology & Life Sciences,0.69,2475833,US4781601046,13.55,4.4,18.31,26.03,14.4,3.43,4.92,"345,062",0.12,10/15/2024,2.21,2.21,2.42,3.28,2475833,JNJ.N,Johnson & Johnson,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,349225712088.60,143.34,-1.18,-1.54,-1.33,-7.53,-10.84,-0.39,-5.64,-5.64,2504068.50,32.71,23.56,13.53,14.27,4.26,0.00,0.00,0.16,12.68,3.46,0.73,13.60,10.59,"Johnson & Johnson, through its subsidiaries, is engaged in the research and development, manufacture, and sale of a range of products in the healthcare field. The Company's primary focus is products related to human health and well-being. It operates through two segments: Innovative Medicine and MedTech. The Innovative Medicine segment is focused on various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. Products in this segment are distributed directly to retailers, wholesalers, distributors, hospitals, and healthcare professionals for prescription use. The MedTech segment includes a broad portfolio of products used in the orthopedic, surgery, interventional solutions, cardiovascular intervention, and vision fields. The MedTech segment also offers a commercially available intravascular lithotripsy (IVL) platform for coronary artery disease (CAD) and peripheral artery disease (PAD)."
